num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2461	3388.328892	47.408567	-6.465797	2.617445	7.535793
2463	3390.411958	62.684596	-2.706535	2.586496	7.553050
2465	3392.495191	64.259510	-1.107105	2.581316	7.374666
2467	3394.578618	59.241781	-1.037753	2.607883	7.488309
2469	3396.661560	63.627968	-2.462914	2.563206	7.329556
2471	3398.745494	67.073669	4.559047	2.563956	7.430429
2473	3400.828817	61.982668	-1.848287	2.582611	7.616487
2475	3402.912517	58.491201	-2.521551	2.558926	7.390498
2477	3404.996307	68.800869	5.325123	2.561175	7.507730
2479	3407.079949	60.936671	-1.392399	2.566657	7.353510
2481	3409.163775	62.219999	-2.307788	2.596389	7.613786
2483	3411.247263	61.532467	-4.669361	2.551806	7.439154
2485	3413.330541	62.577987	-1.725550	2.566726	7.747087
2487	3415.413803	72.798897	-2.954184	2.544565	7.582032
2489	3417.497116	68.044414	5.187174	2.556175	7.579609
2491	3419.580501	64.394343	-1.438817	2.574925	7.738550
2493	3421.663118	66.279515	4.960093	2.577233	7.715605
2495	3423.746342	68.370773	5.454243	2.571207	7.724253
2497	3425.829027	60.924777	-2.115000	2.574229	7.696970
2499	3427.911965	58.603721	-1.006655	2.603239	7.778571
2501	3429.994541	63.446753	-2.522502	2.580164	7.620084
2503	3432.077356	65.389425	-2.866682	2.546293	7.768338
2505	3434.159829	60.926789	-1.062706	2.569162	7.602289
2507	3436.242500	68.043972	4.391201	2.556143	7.738328
2509	3438.324893	66.741516	4.580595	2.549048	7.629535
2511	3440.406892	50.819649	-5.496328	2.440479	7.580863
2513	3442.489247	61.623254	-3.249640	2.558042	7.608384
2515	3444.571711	66.696461	-3.822904	2.548212	7.683018
2517	3446.654357	66.918517	7.340838	2.555041	7.188667
2519	3448.737010	63.101332	-2.083711	2.561005	7.540248
2521	3450.819375	61.947749	-2.168753	2.579395	7.549925
2523	3452.902304	68.276945	-2.684138	2.550174	7.551751
2525	3454.984626	65.754008	-3.218631	2.570368	7.553173
2527	3457.067834	60.987589	-2.640594	2.578930	7.603384
2529	3459.150441	75.567566	-4.596124	2.584652	7.612659
2531	3461.233215	61.826120	-1.428187	2.556069	7.490654
2533	3463.316543	63.652559	6.760333	2.559406	7.726697
2535	3465.399499	62.421696	-1.503460	2.561766	7.375115
2537	3467.482570	68.592325	6.633918	2.552981	7.470021
2539	3469.565783	63.415502	-1.287804	2.564591	7.689819
