time (s)	coil I (A)	last det (V)	int current (uC)
4291.537428	0.685405	52.636719	-508.984375
4291.539430	1.010570	52.636719	-508.984375
4291.541429	1.312838	52.636719	-508.984375
4291.543430	1.603730	52.636719	-508.984375
4291.545432	1.884013	52.636719	-508.984375
4291.547429	2.147228	52.636719	-508.984375
4291.549430	2.406803	52.636719	-508.984375
4291.551432	2.549436	52.636719	-508.984375
4291.553430	2.544439	27.988825	0.052699
4292.581933	1.177914	191.406250	87.304687
4292.583935	1.471753	191.406250	87.304687
4292.587933	2.028888	191.406250	87.304687
4292.589937	2.288873	191.406250	87.304687
4292.591936	2.516679	191.406250	87.304687
4292.593935	2.547328	191.406250	87.304687
4292.595934	2.542224	27.964460	0.038855
4293.619981	0.510989	53.320312	-508.203125
4293.621982	0.843803	53.320312	-508.203125
4293.623982	1.158874	53.320312	-508.203125
4293.625983	1.171316	53.320312	-508.203125
4293.627981	1.739991	53.320312	-508.203125
4293.629983	2.012326	53.320312	-508.203125
4293.631982	2.272309	53.320312	-508.203125
4293.633982	2.507696	53.320312	-508.203125
4293.635982	2.547740	53.320312	-508.203125
4293.639979	2.539191	27.931095	0.053546
4294.659932	0.395758	207.812500	90.917969
4294.661932	0.732150	207.812500	90.917969
4294.663932	1.055008	207.812500	90.917969
4294.665933	1.353886	207.812500	90.917969
4294.667931	1.643842	207.812500	90.917969
4294.671930	2.183495	207.812500	90.917969
4294.673933	2.441881	207.812500	90.917969
4294.675932	2.550520	207.812500	90.917969
4294.677932	2.550294	28.053236	0.042908
4295.701932	0.409588	58.398437	-502.441406
4295.703936	0.745547	58.398437	-502.441406
4295.705934	1.067612	58.398437	-502.441406
4295.709933	1.655329	58.398437	-502.441406
4295.711935	1.933319	58.398437	-502.441406
4295.713934	2.193867	58.398437	-502.441406
4295.715934	2.451214	58.398437	-502.441406
4295.717935	2.550270	58.398437	-502.441406
4295.719935	2.544146	27.985607	0.050941
4296.743927	0.592622	207.421875	90.820312
4296.745931	0.922618	207.421875	90.820312
4296.747929	1.231657	207.421875	90.820312
4296.749930	1.524050	207.421875	90.820312
4296.751930	1.808062	207.421875	90.820312
4296.753931	2.075930	207.421875	90.820312
4296.755929	2.335610	207.421875	90.820312
4296.757929	2.535810	207.421875	90.820312
4296.759929	2.545528	207.421875	90.820312
4296.761931	2.540855	27.949404	0.061800
4297.785990	0.617824	47.167969	-515.136719
4297.787992	0.946555	47.167969	-515.136719
4297.789995	1.253696	47.167969	-515.136719
4297.791992	1.545932	47.167969	-515.136719
4297.793992	1.828766	47.167969	-515.136719
4297.795993	2.095405	47.167969	-515.136719
4297.797992	2.355062	47.167969	-515.136719
4297.799993	2.541719	47.167969	-515.136719
4297.801993	2.545633	47.167969	-515.136719
4297.803993	2.541087	27.951956	0.184731
4298.826062	0.480273	206.347656	90.917969
4298.828065	0.813904	206.347656	90.917969
4298.830063	1.131224	206.347656	90.917969
4298.832062	1.426398	206.347656	90.917969
4298.834063	1.714087	206.347656	90.917969
