num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
7551	404803.434314	36.923772	14.596403	2.802115	6.134947
7553	404805.516195	43.577020	18.505199	2.977504	5.564465
7555	404807.596586	40.476680	16.157935	2.941515	5.438876
7557	404809.678275	40.662476	15.569800	2.933389	6.198847
7559	404811.756161	39.214382	15.202745	2.865907	5.744171
7561	404813.831895	38.107674	14.802474	2.889284	6.220967
7563	404815.910380	37.173676	14.984959	2.863984	4.654595
7565	404817.993331	40.310952	16.729384	2.874521	5.075915
7567	404820.077054	33.513395	21.280430	2.978734	5.360657
7569	404822.156903	37.502432	15.265155	2.890521	6.116953
7571	404824.238107	36.956146	14.985610	2.867961	5.068147
7573	404826.320003	29.617948	15.219341	2.781526	4.809999
7575	404828.400145	35.024142	14.984146	2.917925	5.371498
7577	404830.478803	36.555389	15.021393	2.890919	4.855581
7579	404832.559117	35.830029	15.018541	2.903735	4.109297
7581	404834.641923	34.846625	15.269701	2.887076	5.231326
7583	404836.721380	36.574052	15.532572	2.971164	4.468063
7585	404838.802860	37.848215	17.301299	3.027873	4.355607
7587	404840.875665	34.360635	15.290187	2.908468	5.190210
7589	404842.950536	36.566643	15.553886	3.050725	3.966277
7591	404845.032959	34.313959	15.837701	2.950224	4.117200
7593	404847.115292	28.562997	15.403395	2.909495	3.971453
7595	404849.198431	32.914186	15.999794	2.911834	4.809933
7597	404851.276131	33.053544	16.065983	2.931453	4.707306
7599	404853.359507	33.179189	15.662934	2.942985	3.820236
7601	404855.442540	30.419673	15.787941	2.956767	3.585537
7603	404857.525800	33.640755	15.120185	2.945120	4.022287
7605	404859.603803	33.938870	17.646098	2.919094	4.493044
7607	404861.675967	32.717876	16.220942	3.007965	4.053192
7609	404863.757351	31.849296	16.961914	3.015662	3.934289
7611	404865.835896	31.997198	16.191076	3.009024	3.415159
7613	404867.914495	31.737239	16.194655	3.020616	3.180928
7615	404869.999736	32.450426	15.399692	2.999094	3.667565
7617	404872.074900	30.218771	16.364036	2.962723	3.299463
7619	404874.157123	32.001867	17.101894	3.024550	2.824303
7621	404876.240680	65.839620	19.421390	2.780456	2.830719
7623	404878.323450	28.210519	15.934600	2.960388	3.563415
7625	404880.406299	29.899072	15.370167	2.909847	3.164095
7627	404882.489192	29.944453	16.765530	3.072333	3.422224
7629	404884.564952	31.298621	14.195698	2.917753	2.261237
7631	404886.649050	28.009321	19.991443	3.055747	2.733708
7633	404888.728371	29.991682	16.796749	3.072703	3.418466
7635	404890.803692	29.314099	19.944729	3.056885	3.188861
7637	404892.879456	30.103677	16.692588	3.064149	2.836774
7639	404894.960341	28.734404	17.152029	3.085086	2.793424
7641	404897.047004	28.040446	16.842347	3.070657	2.367028
7643	404899.118428	30.022776	16.303384	3.065569	2.732870
7645	404901.200918	30.286043	17.392785	3.158412	1.809665
7647	404903.283907	27.653531	17.219354	3.136126	1.894332
7649	404905.366617	27.624995	16.613097	3.150571	2.337945
7651	404907.449105	22.698818	17.476772	3.101547	2.299536
7653	404909.531914	27.898952	19.524957	3.074034	2.126384
7655	404913.684857	17.876539	20.555810	1.874133	2.576790
7657	404917.845906	18.613882	21.459560	2.102469	1.858167
7659	404922.002522	19.015359	21.619110	2.109552	1.902892
7661	404925.176102	30.480845	17.688341	0.219840	2.172331
7663	404927.247686	0.251480	-3.893161	0.677956	1.022144
7665	404932.406356	0.000000	0.991608	5.746450	2.518607
7667	404936.571150	17.547527	15.627499	2.009547	2.260725
7669	404940.719298	18.674107	21.250231	2.099765	1.593511
7671	404946.949717	0.378311	-2.707056	-5.497438	1.140621
7673	404951.114146	17.905289	15.369515	1.921629	1.737928
7675	404955.262253	19.357415	20.816939	2.020481	2.557686
7677	404961.509778	12.322462	5.491888	3.101286	1.721676
7679	404965.663784	5.750238	-7.601603	2.547668	1.457654
7681	404971.905623	45.756781	23.806831	0.305252	0.972901
7683	404976.043640	17.106249	20.208998	2.068809	2.475149
7685	404980.215160	16.979330	19.750549	2.062725	1.432480
7687	404984.369157	0.715198	-2.844386	-0.891935	2.447614
7689	405009.326188	1.210493	2.004499	-6.680018	1.268276
7691	405015.580348	9.320367	-7.984924	-6.801814	1.843162
7693	405069.666683	0.854182	-1.281957	3.365840	1.539364
7695	405073.822763	14.688732	12.760999	1.919958	1.432811
7695	405073.822763	13.481806	14.479879	1.680245	1.064703
7697	405088.378166	0.483144	1.323944	-3.416218	1.064703
