num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
9451	407683.961431	52.288438	16.822083	2.974322	10.806574
9453	407686.042483	51.914617	17.906136	3.006707	11.052006
9455	407688.125107	55.236008	20.042152	3.001870	11.178845
9457	407690.204615	49.593549	17.502345	2.976934	11.188246
9459	407692.288114	50.650266	17.175810	2.998319	11.096881
9461	407694.370261	54.155995	16.094308	2.966103	10.724654
9463	407696.452068	53.563361	17.542383	2.977996	11.172717
9465	407698.534910	56.830202	16.999208	3.014837	11.383792
9467	407700.615859	53.950083	16.483435	2.979296	10.972911
9469	407702.697697	54.804565	16.031022	2.976703	10.924181
9471	407704.780454	55.546232	15.800403	2.987859	11.444378
9473	407706.859254	61.124975	17.226012	3.042861	11.073893
9475	407708.942015	57.074949	16.321911	3.006095	11.753746
9477	407711.022161	53.092033	17.345571	2.979633	12.037891
9479	407713.102563	53.756619	17.340862	3.008532	11.667343
9481	407715.184033	52.964865	18.015050	3.005306	11.802500
9483	407717.263938	54.782869	17.017885	3.006151	11.376872
9485	407719.345289	54.491914	15.883784	2.997262	11.219578
9487	407721.427273	56.656396	10.932974	3.046698	12.036287
9489	407723.507589	54.388426	15.933149	3.002695	11.721796
9491	407725.590030	54.313306	15.300797	2.999205	11.804608
9493	407727.672858	51.184032	11.519753	3.044251	11.938811
9495	407729.753467	54.227148	15.514305	3.008931	11.827182
9497	407731.835081	54.389635	14.855676	3.004670	11.385187
9499	407733.916965	53.170550	15.473033	3.017356	11.755894
9501	407735.998919	55.671467	15.047470	3.009819	11.661071
9503	407738.079411	58.210806	15.436942	3.020554	11.404883
9505	407740.160402	56.278218	18.353717	3.048729	11.581916
9507	407742.242247	63.205693	16.318147	3.070649	11.751139
9509	407744.323281	49.841989	14.311851	3.006124	12.094811
9511	407746.406173	52.912077	15.230003	3.028656	11.649016
9513	407748.488364	56.713512	9.600733	3.041519	11.413823
9515	407750.571100	59.193741	14.657483	3.015944	11.428881
9517	407752.653509	59.085057	15.062933	3.038600	12.492466
9519	407754.735530	53.616854	14.743391	3.034889	11.636684
9521	407756.817992	51.821249	9.745100	3.069771	12.153031
9523	407758.899785	55.971871	17.600781	3.092547	12.141828
9525	407760.980198	55.175172	15.019879	3.068473	11.712996
9527	407763.062123	54.257278	17.234872	3.049198	11.767082
9529	407765.143754	57.757245	14.827569	3.084682	11.640556
9531	407767.223499	53.387076	10.056914	3.065507	10.916415
9533	407769.305402	54.380887	14.603448	3.037542	11.823000
9535	407771.386618	54.518653	14.230306	3.062507	11.378716
9537	407773.468731	51.199001	14.028920	3.041407	11.810150
9539	407775.549534	55.088286	13.722470	3.064075	11.328278
9541	407777.631043	47.233948	16.238020	3.062500	11.582760
9543	407779.712799	53.343614	14.433006	3.077465	12.129211
9545	407781.794719	55.621869	14.367663	3.059875	12.087661
9547	407783.876000	54.779792	9.475639	3.073066	11.466904
9549	407785.959157	51.939744	15.191530	3.061631	11.661525
9551	407788.039991	54.215073	15.438832	3.075840	11.591463
9553	407790.121846	54.630113	14.889567	3.064144	12.151850
9555	407792.203411	52.314978	13.555891	3.064148	12.427010
9557	407794.284670	50.823515	8.880652	3.092537	12.667900
9559	407796.366076	59.905935	14.697217	3.086879	12.434022
9561	407798.446826	55.458820	13.573620	3.062973	12.008522
9563	407800.528423	47.941210	8.568742	3.120427	12.146699
9565	407802.608547	57.121869	13.834938	3.094692	12.236892
9567	407804.690074	54.805181	14.438125	3.077165	12.276354
9569	407806.770898	54.553302	13.630846	3.079264	12.182946
9571	407808.851865	55.320742	13.203705	3.074410	11.522244
9573	407810.933690	52.426786	7.972003	3.106978	11.944120
9575	407813.014795	52.938680	13.129628	3.082133	12.291998
9577	407815.095254	54.685820	15.218071	3.100976	11.473189
9579	407817.178189	49.930621	12.840212	3.054234	12.103009
9581	407819.259605	50.870657	12.158530	3.065377	12.599453
9583	407821.340029	55.286620	13.091341	3.107536	12.479638
9585	407823.421912	47.831654	14.725034	3.046946	12.467263
9587	407825.504065	54.887702	12.853995	3.089758	12.555194
9589	407827.584157	55.005703	7.496304	3.104077	12.155722
9591	407829.667404	52.940400	13.166830	3.074443	11.646450
9593	407831.748961	63.802060	8.974929	3.114402	11.870565
9595	407833.830997	55.621464	12.753820	3.111670	12.484099
9597	407835.912487	56.777653	12.717535	3.114062	12.655786
9599	407837.994415	55.332245	14.151749	3.076570	12.862739
9601	407840.076621	55.696780	13.125275	3.099515	12.777918
9603	407842.158726	49.212547	14.114360	3.109923	12.699083
9605	407844.240712	53.063977	12.678779	3.092074	12.421745
9607	407846.322198	48.469686	14.688617	3.061633	12.043482
9609	407848.403928	57.856168	12.251636	3.103326	12.916858
9611	407850.486946	58.672913	12.015634	3.089267	12.026960
9613	407852.567829	59.499860	13.829342	3.165724	11.991035
9615	407854.649556	54.050515	11.619853	3.112068	12.211270
9617	407856.731692	58.276976	11.369057	3.109041	12.967818
9619	407858.811700	53.330613	11.878682	3.105087	12.014975
9621	407860.893194	54.366745	11.388223	3.118881	12.380742
9623	407862.974614	55.984780	6.856510	3.111176	11.570191
9625	407865.056741	54.489902	12.647228	3.115638	11.956857
9627	407867.136877	57.217221	12.381251	3.113683	11.834000
9629	407869.219361	56.998687	12.536994	3.122754	12.653384
9631	407871.301177	55.827247	11.445348	3.106475	12.654563
9633	407873.382669	53.357879	11.035883	3.115768	12.361663
9635	407875.463770	54.294890	14.703572	3.147768	11.909660
9637	407877.546182	55.590205	11.218769	3.112579	12.663456
9639	407879.627217	52.490082	11.208824	3.152080	12.733980
9641	407881.708566	55.832843	11.028302	3.119189	12.346741
9643	407883.790496	56.598904	6.362628	3.134541	12.522414
9645	407885.872369	58.488271	12.826028	3.128337	12.283618
9647	407887.953521	57.733902	11.197244	3.128156	12.174606
9649	407890.035140	55.585106	11.796556	3.131479	12.112648
9651	407892.116820	56.241710	10.920764	3.121621	12.567891
9653	407894.197678	55.845531	10.548232	3.123404	12.456992
9655	407896.278532	54.985191	10.453578	3.129455	12.914015
9657	407898.359974	46.817535	10.595830	3.106653	12.525332
9659	407900.441048	56.041893	11.814745	3.143715	12.638430
9661	407902.521361	53.561763	10.693298	3.133949	12.179308
9663	407904.603753	51.318871	5.134123	3.169655	12.390944
9665	407906.683560	52.191054	10.824695	3.177062	12.193545
9667	407908.765969	53.714695	10.144882	3.138488	12.320117
9669	407910.847270	56.074025	10.176287	3.142501	12.145739
9671	407912.928628	53.092506	9.996949	3.149484	12.531200
9673	407915.009671	60.055111	11.922128	3.183946	12.886636
9675	407917.092004	58.119409	12.508476	3.179506	12.102271
9677	407919.172803	52.783972	10.567373	3.169653	12.681604
9679	407921.254236	55.378067	10.192461	3.158071	12.352060
9681	407923.336538	55.030544	9.931300	3.159210	12.212302
9683	407925.418537	57.168730	9.520204	3.146130	12.467908
9685	407927.500186	54.870999	10.029730	3.143892	12.760493
9687	407929.581913	58.310644	4.562540	3.171254	12.092700
9689	407931.664274	55.608130	13.506925	3.171832	12.308170
9691	407933.745778	59.458098	9.637329	3.174529	12.595438
9693	407935.827963	55.927847	9.123866	3.143129	13.166034
9695	407937.909284	54.938365	11.774670	3.181234	12.841048
9697	407939.991235	56.177696	10.472946	3.156445	12.749642
9699	407942.072939	56.258832	9.742976	3.152435	12.364678
9701	407944.153934	54.845342	9.607847	3.154666	12.174228
9703	407946.235180	55.368262	9.293711	3.155470	11.869580
9705	407948.318268	57.992747	4.357174	3.162862	12.888651
9707	407950.399238	61.299532	9.959920	3.208259	12.035467
9709	407952.480733	54.131012	8.730264	3.165640	12.319260
9711	407954.561307	29.996982	3.840682	3.242851	12.825261
9713	407956.643263	56.516598	10.392859	3.183955	12.829611
9715	407958.723513	55.668871	9.994044	3.174307	12.159308
9717	407960.804851	56.279375	10.831575	3.209345	12.539968
9719	407962.887493	55.983748	8.895593	3.165969	11.914887
9721	407964.969394	61.395680	4.787515	3.184857	12.216307
9723	407967.050163	56.375766	12.100225	3.174569	12.081676
9725	407969.132992	56.073858	9.184999	3.166268	12.293875
9727	407971.214023	55.634208	8.798883	3.164805	11.790110
9729	407973.295293	57.052310	9.331402	3.169605	12.175145
9731	407975.376626	56.245888	8.969767	3.171162	11.704238
9733	407977.458743	56.350562	8.395654	3.164275	12.983513
9735	407979.539745	56.285514	8.974464	3.198625	12.565359
9737	407981.621111	55.737879	8.347033	3.172864	12.144768
9739	407983.703217	52.929475	8.215151	3.152599	12.601056
9741	407985.784111	55.637453	9.559704	3.177776	12.368155
9743	407987.865402	56.324284	8.635700	3.172365	12.564019
9745	407989.947481	56.490807	7.934972	3.186568	12.177970
9747	407992.028252	55.274030	8.198382	3.185924	12.409908
