time (s)	coil I (A)	last det (V)	int current (uC)
408218.833194	0.554663	60.156250	-538.964844
408218.835195	0.830797	60.156250	-538.964844
408218.837195	0.862763	60.156250	-538.964844
408218.839196	0.860286	9.463142	0.049164
408219.849261	0.596428	306.542969	35.058594
408219.851263	0.845869	306.542969	35.058594
408219.853263	0.861481	306.542969	35.058594
408219.855263	0.859255	9.451807	0.039410
408220.931321	0.714158	53.906250	-575.488281
408220.933324	0.864357	53.906250	-575.488281
408220.935323	0.861904	9.480947	0.034557
408221.945844	0.504906	305.078125	35.742187
408221.947847	0.806330	305.078125	35.742187
408221.949845	0.865779	305.078125	35.742187
408221.951846	0.862960	9.492565	0.029205
408222.994770	0.562245	60.742187	-519.335937
408222.996772	0.836247	60.742187	-519.335937
408222.998771	0.865916	60.742187	-519.335937
408223.000772	0.863445	9.497900	0.041678
408224.041692	0.283737	293.261719	37.011719
408224.043693	0.295958	293.261719	37.011719
408224.045694	0.854760	293.261719	37.011719
408224.047694	0.864577	293.261719	37.011719
408224.051692	0.860722	9.467937	0.029564
408225.095685	0.865370	52.050781	-571.484375
408225.097686	0.862727	9.489995	0.037039
408226.107728	0.559853	296.582031	36.328125
408226.109730	0.835445	296.582031	36.328125
408226.111729	0.866345	296.582031	36.328125
408226.113730	0.863977	9.503749	0.041011
408227.157773	0.785501	56.738281	-535.937500
408227.159775	0.866289	56.738281	-535.937500
408227.161776	0.863379	9.497173	0.045670
408228.205773	0.706385	279.785156	36.230469
408228.207774	0.866337	279.785156	36.230469
408228.209776	0.864407	9.508473	0.622131
408229.255737	0.851402	50.585937	-581.054687
408229.257739	0.864882	50.585937	-581.054687
408229.259740	0.862556	9.488116	0.144280
408230.268333	0.406769	313.574219	33.105469
408230.270341	0.735381	313.574219	33.105469
408230.272338	0.869722	313.574219	33.105469
408230.274343	0.866824	9.535069	0.037161
408231.320353	0.860577	51.464844	-578.417969
408231.322354	0.864881	51.464844	-578.417969
408231.324357	0.862725	9.489977	0.335870
408232.366372	0.553144	291.601562	33.886719
408232.368374	0.832988	291.601562	33.886719
408232.370374	0.866749	291.601562	33.886719
408232.372375	0.864388	9.508269	0.029270
408233.414934	0.551964	47.363281	-607.421875
408233.418935	0.867606	47.363281	-607.421875
408233.420936	0.865145	47.363281	-607.421875
408233.422936	0.863611	9.499717	0.038855
408234.431002	0.595590	307.910156	32.421875
408234.433004	0.849756	307.910156	32.421875
408234.435002	0.866849	307.910156	32.421875
408234.437003	0.864603	9.510635	0.079812
408235.482029	0.867755	58.496094	-547.753906
408235.484032	0.868264	58.496094	-547.753906
408235.486030	0.866123	9.527349	0.436667
408236.528047	0.579662	287.792969	33.691406
408236.530049	0.846137	287.792969	33.691406
408236.532050	0.869759	287.792969	33.691406
408236.534048	0.867153	9.538685	0.028418
408237.576629	0.579914	54.296875	-583.300781
408237.578631	0.845484	54.296875	-583.300781
408237.580632	0.868541	54.296875	-583.300781
408237.582634	0.866089	9.526978	0.041568
408238.591267	0.385375	290.820312	34.082031
