crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	8.337586	1159	1296157312.000000
281474976710655.000000	8.252218	1160	1297173888.000000
281474976710655.000000	8.507499	1161	1298234496.000000
281474976710655.000000	7.999335	1162	1299257472.000000
281474976710655.000000	8.744133	1163	1300312320.000000
281474976710655.000000	8.042482	1164	1301341056.000000
281474976710655.000000	9.010536	1165	1302386048.000000
281474976710655.000000	8.360557	1166	1303427840.000000
281474976710655.000000	9.148983	1167	1304463616.000000
281474976710655.000000	8.362274	1168	1305512704.000000
281474976710655.000000	8.823224	1169	1306537984.000000
281474976710655.000000	8.322440	1170	1307598080.000000
281474976710655.000000	9.073120	1171	1308616704.000000
281474976710655.000000	8.493826	1172	1309680384.000000
281474976710655.000000	8.878793	1173	1310693632.000000
281474976710655.000000	8.520082	1174	1311760768.000000
281474976710655.000000	8.552770	1175	1312774144.000000
281474976710655.000000	8.647469	1176	1313840384.000000
281474976710655.000000	8.368361	1177	1314856704.000000
281474976710655.000000	8.835459	1178	1315915776.000000
281474976710655.000000	8.324559	1179	1316941184.000000
281474976710655.000000	8.965752	1180	1317992448.000000
281474976710655.000000	8.535499	1181	1319025920.000000
281474976710655.000000	9.140150	1182	1320067584.000000
281474976710655.000000	8.640649	1183	1321111808.000000
281474976710655.000000	9.092937	1184	1322144000.000000
281474976710655.000000	8.674052	1185	1323195264.000000
281474976710655.000000	9.094817	1186	1324222080.000000
281474976710655.000000	8.812694	1187	1325276672.000000
281474976710655.000000	9.060980	1188	1326300416.000000
281474976710655.000000	8.770920	1189	1327358720.000000
281474976710655.000000	9.097905	1190	1328379648.000000
281474976710655.000000	8.800708	1191	1329440128.000000
281474976710655.000000	9.093357	1192	1330459776.000000
281474976710655.000000	8.810224	1193	1331519232.000000
281474976710655.000000	9.173891	1194	1332541184.000000
281474976710655.000000	8.868024	1195	1333598976.000000
281474976710655.000000	9.103296	1196	1334622208.000000
281474976710655.000000	8.954837	1197	1335677440.000000
281474976710655.000000	9.202955	1198	1336704768.000000
281474976710655.000000	9.079094	1199	1337754624.000000
281474976710655.000000	9.273219	1200	1338788480.000000
281474976710655.000000	9.131295	1201	1339830784.000000
281474976710655.000000	9.172169	1202	1340873088.000000
281474976710655.000000	9.053733	1203	1341906688.000000
281474976710655.000000	9.081032	1204	1342957184.000000
281474976710655.000000	8.926844	1205	1343983232.000000
281474976710655.000000	9.092584	1206	1345041024.000000
281474976710655.000000	9.048502	1207	1346059904.000000
281474976710655.000000	9.173576	1208	1347123200.000000
281474976710655.000000	9.493353	1209	1348139136.000000
281474976710655.000000	9.098910	1210	1349204096.000000
281474976710655.000000	9.410199	1211	1350220032.000000
281474976710655.000000	9.110528	1212	1351284608.000000
281474976710655.000000	9.548946	1213	1352301440.000000
281474976710655.000000	9.293629	1214	1353362432.000000
281474976710655.000000	9.545977	1215	1354384000.000000
281474976710655.000000	9.282575	1216	1355440896.000000
281474976710655.000000	9.907431	1217	1356466816.000000
281474976710655.000000	9.254677	1218	1357519488.000000
281474976710655.000000	9.659570	1219	1358550144.000000
