time (s)	coil I (A)	last det (V)	int current (uC)
1852.780445	0.384726	568.359375	-51.757812
1852.782447	0.390765	568.359375	-51.757812
1852.784447	0.389614	4.285758	0.515276
1853.794411	0.390667	95.703125	283.398437
1853.796413	0.389560	4.285163	0.575686
1854.864423	0.387101	569.726562	-51.562500
1854.866426	0.389717	4.286892	0.520775
1855.871364	0.316176	86.718750	302.734375
1855.873365	0.390276	86.718750	302.734375
1855.875367	0.388895	4.277843	0.578479
1856.943869	0.387311	575.292969	-54.687500
1856.945870	0.390816	4.298980	0.532817
1857.951880	0.285383	83.789062	284.082031
1857.953879	0.392880	83.789062	284.082031
1857.955880	0.391243	4.303668	0.550707
1859.022321	0.390057	581.152344	-59.179687
1859.024322	0.389995	4.289949	0.558430
1860.036850	0.371606	82.226562	265.625000
1860.038852	0.390264	82.226562	265.625000
1860.040853	0.389114	4.280254	0.518789
1861.102897	0.391214	582.910156	-62.792969
1861.104898	0.390132	4.291447	0.546362
1862.125465	0.389367	85.546875	235.742187
1862.127465	0.388413	4.272544	0.563217
1863.171971	0.266737	584.277344	-65.429687
1863.175971	0.390494	584.277344	-65.429687
1863.177974	0.389565	4.285217	0.602688
1864.206014	0.337912	92.968750	201.269531
1864.208014	0.390357	92.968750	201.269531
1864.210013	0.389079	4.279864	0.514057
1865.252079	0.389889	576.464844	-64.453125
1865.254083	0.389800	4.287805	0.559410
1866.292093	0.372107	88.671875	233.886719
1866.294095	0.390221	88.671875	233.886719
1866.296096	0.389054	4.279589	0.509017
1867.330140	0.390895	576.367187	-67.382812
1867.332141	0.389862	4.288478	0.561844
1868.378124	0.391795	83.398437	285.742187
1868.380127	0.390509	4.295603	0.507700
1869.408089	0.390361	570.019531	-64.550781
1869.410090	0.389340	4.282744	0.557080
1870.460619	0.391614	88.281250	282.226562
1870.462622	0.390039	4.290428	0.710381
1871.486664	0.387727	564.746094	-62.304687
1871.488667	0.389479	4.284268	0.541203
1872.539630	0.370343	92.285156	280.566406
1872.541631	0.389787	92.285156	280.566406
1872.543632	0.388601	4.274609	0.530249
1873.567675	0.390949	561.816406	-60.742187
1873.571676	0.388516	4.273678	0.542125
1874.618185	0.337981	91.113281	307.421875
1874.620186	0.390496	91.113281	307.421875
1874.622187	0.389171	4.280883	0.561664
1875.650613	0.390224	563.671875	-59.863281
1875.652613	0.389071	4.279784	0.522545
1876.698638	0.378387	97.265625	291.015625
1876.700641	0.389772	97.265625	291.015625
1876.702639	0.388707	4.275778	0.543941
