time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2328.612471	14.039250	0.002313	6.069926	85
2329.662561	12.485734	0.002260	5.524503	86
2330.699126	13.603386	0.002269	5.996311	87
2331.739639	12.564626	0.002251	5.582416	88
2332.780219	13.346591	0.002262	5.900681	89
2333.818810	12.775695	0.002250	5.679010	90
2334.858849	13.272244	0.002272	5.840739	91
2335.900848	12.722898	0.002261	5.626130	92
2336.936827	13.212497	0.002257	5.853576	93
2337.982813	12.987458	0.002282	5.691241	94
2339.011351	13.499214	0.002265	5.958749	95
2340.069423	13.044828	0.002256	5.782994	96
2341.087368	13.452180	0.002296	5.859344	97
2342.151379	12.884270	0.002260	5.700326	98
2343.167398	13.615029	0.002283	5.964281	99
2344.229354	12.727263	0.002264	5.622486	100
2345.245332	13.610952	0.002265	6.008588	101
2346.309329	12.984948	0.002282	5.690959	102
2347.325371	13.595156	0.002271	5.987724	103
2348.389381	12.964392	0.002266	5.722110	104
2349.407483	13.776858	0.002256	6.107108	105
2350.470064	16.735628	0.002247	7.448657	106
2351.486074	13.593890	0.002266	5.998546	107
2352.546082	13.070789	0.002268	5.763571	108
2353.568121	13.698610	0.002274	6.024446	109
2354.624185	13.252206	0.002279	5.815749	110
2355.652676	13.602626	0.002261	6.016565	111
2356.701633	13.318882	0.002256	5.904556	112
2357.737666	13.753312	0.002253	6.105665	113
2358.775699	13.660788	0.002276	6.003227	114
2359.817418	13.894278	0.002286	6.078516	115
2360.855793	13.211787	0.002251	5.870340	116
2361.898405	13.840522	0.002252	6.145033	117
2362.936499	13.220700	0.002283	5.790122	118
2363.977060	14.310983	0.002267	6.311619	119
2365.021083	13.027927	0.002262	5.758781	120
2366.051111	14.418481	0.002273	6.344473	121
2367.105700	13.001935	0.002283	5.695130	122
2368.127745	21.504519	0.002255	9.536090	123
2369.189763	13.107276	0.002280	5.749128	124
2370.203895	14.336244	0.002286	6.270969	125
2371.269928	13.281197	0.002261	5.874670	126
2372.285967	13.959290	0.002254	6.193695	127
2373.344465	13.502097	0.002254	5.990251	128
2374.370462	13.942587	0.002257	6.177830	129
2375.418459	13.448963	0.002252	5.972102	130
2376.456453	14.009892	0.002256	6.208701	131
2377.494448	13.531026	0.002266	5.971670	132
2378.538484	14.153377	0.002267	6.243842	133
2379.572521	13.367092	0.002255	5.927302	134
2380.618525	14.072654	0.002244	6.272383	135
2381.653512	13.458439	0.002270	5.928227	136
2382.697598	14.328151	0.002245	6.381748	137
2383.735634	13.388802	0.002259	5.926472	138
2384.775662	14.877808	0.002282	6.518246	139
2385.815443	13.143276	0.002256	5.826889	140
2386.851938	14.217945	0.002257	6.299393	141
2387.899338	13.457449	0.002246	5.991621	142
2388.934496	14.676494	0.002253	6.514093	143
2389.977523	13.354445	0.002256	5.920601	144
2391.012046	14.675025	0.002270	6.465679	145
2392.056118	13.559851	0.002279	5.950297	146
2393.094138	14.762006	0.002261	6.529215	147
2394.136165	13.492798	0.002262	5.965508	148
2395.174202	14.960304	0.002262	6.614900	149
2396.214636	13.413210	0.002270	5.908328	150
2397.254685	14.890559	0.002291	6.499756	151
2398.294752	13.814980	0.002260	6.113198	152
2399.337341	14.618048	0.002258	6.473739	153
2400.371877	13.928310	0.002273	6.127615	154
2401.415927	14.695818	0.002263	6.493907	155
2402.453957	14.050571	0.002261	6.214793	156
2403.493987	14.511298	0.002266	6.404045	157
2404.531998	13.838484	0.002253	6.143572	158
2405.572010	14.553233	0.002249	6.469819	159
2406.618067	14.341749	0.002258	6.350605	160
2407.648081	14.843044	0.002286	6.491698	161
2408.700657	14.158425	0.002282	6.203721	162
2409.724703	14.763384	0.002254	6.549413	163
2410.784709	14.025203	0.002274	6.168198	164
2411.800745	15.070414	0.002278	6.615318	165
2412.870169	13.939311	0.002242	6.217247	166
2413.881217	15.080267	0.002265	6.658420	167
2414.943799	13.954981	0.002280	6.119426	168
2415.964360	15.414902	0.002304	6.691848	169
2417.020369	13.963367	0.002258	6.183420	170
2418.049336	15.100259	0.002250	6.710098	171
2419.094298	13.987220	0.002269	6.165671	172
2420.133250	15.335214	0.002254	6.803332	173
2421.173327	14.140993	0.002252	6.278785	174
2422.215363	15.406683	0.002274	6.774260	175
2423.251477	14.321002	0.002259	6.339900	176
2424.294005	14.950701	0.002270	6.584773	177
2425.329995	14.290272	0.002261	6.319033	178
2426.377971	15.197670	0.002243	6.774300	179
2427.412069	14.368673	0.002250	6.384701	180
2428.454120	14.951118	0.002251	6.640581	181
2429.492224	14.604224	0.002281	6.402087	182
2430.532257	15.005445	0.002266	6.623076	183
2431.574758	14.686871	0.002267	6.479398	184
2432.612814	15.092888	0.002259	6.680278	185
2433.654840	14.656148	0.002248	6.519218	186
2434.691405	15.179790	0.002275	6.673793	187
2435.731429	14.578246	0.002263	6.440718	188
2436.773450	15.126539	0.002268	6.669925	189
2437.811489	14.619499	0.002254	6.485633	190
2438.853490	15.274550	0.002266	6.739429	191
2439.891518	14.775093	0.002267	6.516688	192
2440.937582	15.419057	0.002246	6.865822	193
2441.970131	14.633163	0.002265	6.461312	194
2443.014562	18.562328	0.002252	8.241201	195
2444.051094	14.657999	0.002256	6.495970	196
2445.093117	15.513568	0.002269	6.836815	197
2446.131143	14.536036	0.002260	6.430505	198
2447.170975	15.397591	0.002255	6.827971	199
2448.213654	14.511132	0.002260	6.419940	200
2449.247381	15.707509	0.002265	6.935286	201
2450.297656	14.472352	0.002255	6.418612	202
2451.327666	16.036173	0.002264	7.081951	203
2452.382598	14.595905	0.002265	6.442719	204
2453.400601	15.812838	0.002263	6.988545	205
2454.464598	14.450435	0.002250	6.423056	206
2455.479119	16.304201	0.002266	7.195700	207
2456.545177	14.690006	0.002257	6.509260	208
2457.557177	15.517243	0.002273	6.825958	209
2458.623135	14.807879	0.002256	6.564687	210
2459.643222	15.604969	0.002254	6.923415	211
2460.701241	15.240857	0.002279	6.686261	212
2461.729734	15.681764	0.002238	7.005968	213
2462.776703	14.973759	0.002247	6.662884	214
2463.807325	15.792704	0.002301	6.864493	215
2464.853326	15.071164	0.002262	6.662587	216
2465.891333	15.530903	0.002256	6.885005	217
2466.931872	15.563536	0.002298	6.771717	218
2467.971954	15.714340	0.002262	6.947109	219
2469.008019	15.033673	0.002269	6.626594	220
2470.052972	15.717587	0.002259	6.956721	221
2471.091012	15.347005	0.002281	6.728198	222
2472.133625	15.831595	0.002273	6.966167	223
2473.170139	15.176033	0.002249	6.748021	224
2474.212126	15.932716	0.002283	6.979987	225
2475.248174	15.224868	0.002277	6.687619	226
2476.292211	15.773973	0.002255	6.993886	227
2477.328236	15.262183	0.002269	6.724926	228
2478.374236	15.920686	0.002252	7.070995	229
2479.408788	15.311073	0.002277	6.725223	230
2480.450786	15.817387	0.002255	7.015038	231
2481.488826	15.279292	0.002263	6.751051	232
2482.530855	15.923183	0.002253	7.068933	233
2483.570872	15.355600	0.002253	6.816852	234
2484.608928	16.127176	0.002290	7.041475	235
2485.650777	15.297176	0.002255	6.784936	236
2486.688940	16.032213	0.002254	7.114033	237
2487.736927	15.528959	0.002247	6.910342	238
2488.765424	16.166742	0.002270	7.122275	239
2489.819407	15.325633	0.002256	6.792886	240
2490.845979	16.322355	0.002246	7.266007	241
2491.900527	15.437607	0.002253	6.852071	242
2492.920549	20.251886	0.002253	8.987362	243
2493.984604	15.419529	0.002242	6.876642	244
2494.998693	16.569639	0.002275	7.282400	245
2496.062734	15.264126	0.002250	6.783504	246
2497.079651	16.301476	0.002246	7.257199	247
2498.140217	15.243022	0.002263	6.735790	248
2499.160221	16.662241	0.002268	7.346821	249
2500.218821	15.298250	0.002258	6.775692	250
2501.242904	16.713449	0.002266	7.376289	251
2502.296887	15.358374	0.002253	6.817306	252
2503.325333	16.694759	0.002268	7.361821	253
2504.373370	15.550600	0.002266	6.862194	254
2505.409349	16.785522	0.002278	7.368527	255
2506.451354	15.555962	0.002257	6.891267	0
2507.489408	16.395605	0.002253	7.276512	1
2508.527908	15.672847	0.002265	6.918222	2
2509.571938	16.842348	0.002279	7.391374	3
2510.608036	15.825612	0.002278	6.947415	4
2511.652497	16.667664	0.002264	7.362792	5
2512.686670	15.726046	0.002256	6.971759	6
2513.731116	16.912848	0.002278	7.425375	7
2514.767151	15.798265	0.002257	6.998250	8
2515.811192	16.698170	0.002271	7.353439	9
2516.847254	15.816297	0.002262	6.993443	10
2517.897253	16.921741	0.002259	7.489514	11
2518.927779	16.000082	0.002276	7.028492	12
2519.971797	16.896442	0.002278	7.417970	13
2521.007816	15.985643	0.002257	7.081921	14
2522.051859	16.819845	0.002256	7.455381	15
2523.087876	16.030725	0.002273	7.054173	16
2524.129880	16.714954	0.002258	7.402752	17
2525.168406	16.133791	0.002279	7.078684	18
2526.212444	16.998121	0.002253	7.545814	19
2527.248799	15.844084	0.002256	7.023399	20
2528.289047	17.141376	0.002275	7.535794	21
2529.333088	16.453966	0.002273	7.237369	22
2530.367095	17.432804	0.002310	7.547031	23
2531.417089	16.047009	0.002251	7.129064	24
2532.445143	17.184629	0.002256	7.615903	25
2533.495719	15.811983	0.002266	6.976473	26
2534.521805	17.199165	0.002250	7.644595	27
2535.577498	15.829213	0.002250	7.036295	28
2536.599796	17.076460	0.002246	7.603833	29
2537.662316	15.956619	0.002252	7.086759	30
2538.676853	17.205837	0.002278	7.554625	31
2539.740845	16.048040	0.002269	7.071279	32
2540.758896	17.214151	0.002256	7.631415	33
2541.821748	16.730459	0.002244	7.456769	34
2542.838908	16.861654	0.002255	7.477878	35
2543.899409	16.243401	0.002258	7.193119	36
2544.919442	17.054974	0.002263	7.537779	37
2545.977421	16.369022	0.002261	7.238266	38
2547.003429	17.316929	0.002278	7.603314	39
2548.055985	16.516401	0.002268	7.282318	40
2549.083976	17.075550	0.002251	7.586543	41
2550.132935	16.323214	0.002262	7.215013	42
2551.165001	17.130703	0.002255	7.597345	43
2552.215552	16.570601	0.002248	7.371950	44
2553.249544	17.260141	0.002248	7.676686	45
2554.290073	16.501755	0.002272	7.262097	46
2555.328178	17.258654	0.002263	7.627142	47
2556.372690	16.493874	0.002255	7.315521	48
2557.407179	17.105356	0.002249	7.604995	49
